texts,intents
what movies did Temuera Morrison act in?,"actor_to_movie
"
what movies did Evelyn Venable act in?,"actor_to_movie
"
what does Tom Cullen act in?,"actor_to_movie
"
what movies was Shareeka Epps an actor in?,"actor_to_movie
"
what does Peter Franz̩n appear in?,"actor_to_movie
"
what movies was Charles Martin Smith an actor in?,"actor_to_movie
"
what does Robert Stack appear in?,"actor_to_movie
"
what does Teresa Ann Savoy appear in?,"actor_to_movie
"
what films did Lily Tomlin act in?,"actor_to_movie
"
what movies did Tom Tryon act in?,"actor_to_movie
"
what does Laura Harring act in?,"actor_to_movie
"
what films did Patsha Bay act in?,"actor_to_movie
"
Cristina Flutur appears in which movies?,"actor_to_movie
"
what movies did Karl Hardman act in?,"actor_to_movie
"
what films does Jessie Matthews appear in?,"actor_to_movie
"
what movies did Terrance Zdunich act in?,"actor_to_movie
"
what films did Cynthia Myers star in?,"actor_to_movie
"
what movies did Daniel Gim̩nez Cacho act in?,"actor_to_movie
"
what movies did Javier Pereira act in?,"actor_to_movie
"
what does Adam Arkin star in?,"actor_to_movie
"
Claire Skinner appears in which movies?,"actor_to_movie
"
what movies did Genevieve Tobin star in?,"actor_to_movie
"
what does Sabine Az̩ma act in?,"actor_to_movie
"
what movies did Walter Connolly star in?,"actor_to_movie
"
what does Christian Serratos act in?,"actor_to_movie
"
what does Stephen Rea act in?,"actor_to_movie
"
what movies did Christopher Judge act in?,"actor_to_movie
"
Curtis Armstrong appears in which movies?,"actor_to_movie
"
what films does Matt LeBlanc appear in?,"actor_to_movie
"
what movies was Laura Harris an actor in?,"actor_to_movie
"
what does Danielle De Luca appear in?,"actor_to_movie
"
what movies did Joely Richardson star in?,"actor_to_movie
"
what does Tom Atkins appear in?,"actor_to_movie
"
what movies did Natassia Malthe act in?,"actor_to_movie
"
what movies did Yutaka Hayashi act in?,"actor_to_movie
"
what movies did Megs Jenkins star in?,"actor_to_movie
"
Pamela Anderson appears in which movies?,"actor_to_movie
"
what movies did James MacArthur act in?,"actor_to_movie
"
Gene Quintano appears in which movies?,"actor_to_movie
"
what movies did Roshan Seth star in?,"actor_to_movie
"
Kay Kendall appears in which movies?,"actor_to_movie
"
what movies did Judy Parfitt star in?,"actor_to_movie
"
what does William Hudson act in?,"actor_to_movie
"
what movies did Dale Midkiff star in?,"actor_to_movie
"
what does Dave O'Brien star in?,"actor_to_movie
"
what films did Simon MacCorkindale act in?,"actor_to_movie
"
what does Michelle Jenner star in?,"actor_to_movie
"
what movies was Barbara Bates an actor in?,"actor_to_movie
"
what does Mark Eden act in?,"actor_to_movie
"
what movies did Alain Libolt star in?,"actor_to_movie
"
Luke Bracey appears in which movies?,"actor_to_movie
"
what films did Ken Wright star in?,"actor_to_movie
"
what movies did Dennis Goldson star in?,"actor_to_movie
"
what movies did Diane Ladd act in?,"actor_to_movie
"
what films does Celeste Yarnall appear in?,"actor_to_movie
"
Kim Myers appears in which movies?,"actor_to_movie
"
